candidate_id,ticker,trading_date,graded_at,score,tier,entry_open,same_day_close,ret_open_close_net,ret_open_5dclose_net,mfe_5d,mae_5d,win,note
f9476432-1706-4f53-a597-10eb98ede01a,XHG,2026-07-24,2026-07-31T22:00:10,38.4,D,1.04,0.981,-7.6731,-10.6346,0.0,-10.5769,0,
4ed205a8-a22a-42f6-a139-d7110ed6f4d9,BYRN,2026-07-28,2026-08-04T22:07:26,62.8,B,4.36,3.97,-10.945,6.7156,18.5711,-12.156,0,
5b38e36e-13d2-46ce-b4be-1aab37482d9b,SSII,2026-07-28,2026-08-04T22:07:26,51.3,C,4.05,3.93,-4.963,-7.4321,2.3704,-8.1482,0,
3a46801b-6efd-4cee-825d-bd04c6c86309,BZUN,2026-07-28,2026-08-04T22:07:27,40.5,D,2.82,2.89,0.4823,5.0922,12.0567,-1.7376,1,
dbcd734c-c432-4967-b2e4-235c2db963e8,APUS,2026-07-29,2026-08-05T22:08:18,74.7,B,8.1,5.75,-31.0123,-44.5926,2.1605,-48.7654,0,
d18a4981-6c27-40e5-8407-e5d635f43614,PRLD,2026-07-29,2026-08-05T22:08:19,63.4,B,4.64,4.71,-0.4914,-4.1552,10.9914,-7.0043,0,
303d089b-7cc5-4fb5-8f15-9d6fc95bcdd3,CTXR,2026-07-30,2026-08-07T01:00:22,50.3,C,0.563,0.632,10.2558,12.032,47.7797,-0.8881,1,
39eb78f3-2fbd-42ce-8707-e9db3e77039c,QUAD,2026-07-30,2026-08-07T01:00:22,53.4,C,9.75,9.88,-0.6667,0.4615,14.359,-3.6923,0,
7f566af3-1a63-4f2e-b901-c6b7f8134b24,BOOM,2026-07-31,2026-08-07T21:34:09,54.9,C,6.31,6.74,4.8146,19.3946,24.2472,-1.7433,1,
9b5e93a5-94c7-4725-a415-d44e17c8389c,FOSL,2026-08-04,2026-08-11T21:40:37,44.8,D,5.81,6.09,2.8193,-11.8107,6.0241,-11.704,1,
b387dd31-e377-4fff-b28b-874a6761ee56,BWEN,2026-08-05,2026-08-12T21:40:02,62.5,B,4.96,4.51,-11.0726,7.6774,14.9194,-14.1129,0,
b5329089-5103-4eda-aea7-3be4e736d500,AIRJ,2026-08-05,2026-08-12T21:40:03,52.2,C,5.96,5.95,-2.1678,4.0403,11.5772,-7.5503,0,
5e5c58dd-b2cd-4b3b-9eae-c03edfc190b2,SMRT,2026-08-06,2026-08-13T21:39:38,78.0,A,1.31,1.37,2.5802,7.9237,14.8855,-7.6336,1,
80f0ee5b-3c95-4cf2-a3db-51cc76eff971,ZTG,2026-08-06,2026-08-13T21:39:39,74.5,B,6.79,10.05,46.0118,52.6392,80.4124,-1.3255,1,
46df993b-7ed4-465d-bc38-717c87fda7fd,CDTG,2026-08-06,2026-08-14T21:25:20,72.3,B,1.45,1.56,5.5862,42.1379,46.8966,-19.3104,1,
7ac7e279-4cef-4c08-a3f1-3c4bd338810d,ALTI,2026-08-06,2026-08-14T21:25:20,63.5,B,4.5,4.34,-5.5556,-12.8889,2.6667,-11.3333,0,
8dd4d4b4-aca0-44c3-a9e3-0a76c9b98cf5,CRCT,2026-08-06,2026-08-14T21:25:20,58.8,C,5.96,6.07,-0.1544,-5.3557,2.8524,-8.0369,0,
5bea747d-eb41-464f-9857-3b6e251c5c3a,SMJF,2026-08-06,2026-08-14T21:25:20,73.1,B,6.7,8.2,20.3881,50.9851,52.9851,-1.6418,1,
8b968d9d-2f15-4c5b-8373-5c5194f9d185,FEAM,2026-08-07,2026-08-14T21:25:20,62.6,B,1.78,1.5,-17.7303,-11.5506,34.2697,-19.1011,0,
fe030977-5fcb-4870-9f05-00363b7e575a,MYO,2026-08-07,2026-08-14T21:25:21,58.9,C,1.29,1.42,8.0775,31.3333,37.2093,-3.1008,1,
488ce346-5f55-4561-ae53-0f581419357e,PEPG,2026-08-07,2026-08-14T21:25:21,62.8,B,2.48,2.85,12.9194,18.5645,26.6129,-1.6129,1,
