ts,event,picks_sha256,outcomes_sha256,paths_sha256,prev_chain,chain
2026-07-17T12:43:42.455172+00:00,scan,d7f76e541ecb7e39c692bea5c384c3efc99a618836cc9a7b84d67fcedbd195ff,6a254fb1e8ea7d390d01f8c92fdfea9d855119fbeccaa4c6a43510243fb74e10,b14db63674387eea11dfd210b5a758a5a07876362b4470fa599488f0afdbb52f,832beca1d9f96124e2e0b6ad513eb750ff47ce3ba1c08672b295550e50b778c2,1dd3f87e94814415ccda9c892b9d8d806cf2cbd746136c78cbff92554af0973f
2026-07-17T21:47:46.391557+00:00,grade,d7f76e541ecb7e39c692bea5c384c3efc99a618836cc9a7b84d67fcedbd195ff,838685561cd0b19c3433678573aac2ee525060475ccf2ba7907baf5baa97d869,e08ef11282905be8f9da9af33e9888c5bc8cb1e183920a4ddab8238c04402015,1dd3f87e94814415ccda9c892b9d8d806cf2cbd746136c78cbff92554af0973f,7bd641d51ccc3b83208eaf3d07a1eaa3ccb398fef8595849e1983e14fef1dc5e
2026-07-18T14:53:54.372626+00:00,report,d7f76e541ecb7e39c692bea5c384c3efc99a618836cc9a7b84d67fcedbd195ff,838685561cd0b19c3433678573aac2ee525060475ccf2ba7907baf5baa97d869,e08ef11282905be8f9da9af33e9888c5bc8cb1e183920a4ddab8238c04402015,7bd641d51ccc3b83208eaf3d07a1eaa3ccb398fef8595849e1983e14fef1dc5e,081b6804d96bd8c1d243d8eb73419fad096633075afc6bda4dee4c3bed0a8a9d
2026-07-20T13:30:07.321194+00:00,scan,8e462a156ec3b8792fece7862232e3fc043bf21be0c1c45c32ed3d37300694a7,838685561cd0b19c3433678573aac2ee525060475ccf2ba7907baf5baa97d869,e08ef11282905be8f9da9af33e9888c5bc8cb1e183920a4ddab8238c04402015,081b6804d96bd8c1d243d8eb73419fad096633075afc6bda4dee4c3bed0a8a9d,d0a22f857d2afcef49f08c797c2e8e1457914ae9d7df4d5cb7b6adf0859ce43e
2026-07-20T21:57:16.923198+00:00,grade,8e462a156ec3b8792fece7862232e3fc043bf21be0c1c45c32ed3d37300694a7,335cbfd39cd69973dcc82ef3712e1630cdd3c501004c24b028c79d55d45e21ed,c848e69088ab3408cd831abbfec8cfc025b443867e6242b9cdb6cdb1c0b3df41,d0a22f857d2afcef49f08c797c2e8e1457914ae9d7df4d5cb7b6adf0859ce43e,e0a5222065bef6b2d56ea75137debb3a913b05b23c3f739c802bbddbc1226f53
2026-07-21T12:56:28.119859+00:00,scan,ca84b362ae9d160a408cddfaf0a64822bdea6eea1b435e99e629f69748c6f22c,335cbfd39cd69973dcc82ef3712e1630cdd3c501004c24b028c79d55d45e21ed,c848e69088ab3408cd831abbfec8cfc025b443867e6242b9cdb6cdb1c0b3df41,e0a5222065bef6b2d56ea75137debb3a913b05b23c3f739c802bbddbc1226f53,32e2d2370979383f409575bee82ea6ceb88cec998444062b331498355024ed7e
2026-07-21T22:00:34.717412+00:00,grade,ca84b362ae9d160a408cddfaf0a64822bdea6eea1b435e99e629f69748c6f22c,70b0706d5f7ce395305a51737596d604040aa1e44354b62aaeef369c5405381d,6f94a740246591533c1982cd2027cb6aa2fe73b5dc246547f4b0a33b19f52600,32e2d2370979383f409575bee82ea6ceb88cec998444062b331498355024ed7e,1ff35eeaf5904e5c39fd5b698cbe995f0685c386e2099312d33e30a9569cb934
2026-07-22T12:59:01.545932+00:00,scan,71417b806d462e09068cb9a0b11652091d5cdf263f9ab8f49f24586db2e9413e,70b0706d5f7ce395305a51737596d604040aa1e44354b62aaeef369c5405381d,6f94a740246591533c1982cd2027cb6aa2fe73b5dc246547f4b0a33b19f52600,1ff35eeaf5904e5c39fd5b698cbe995f0685c386e2099312d33e30a9569cb934,555d692c86590f8665006fef2afda54c751cf4374274b368111091601a83deb0
2026-07-22T22:01:13.575540+00:00,grade,71417b806d462e09068cb9a0b11652091d5cdf263f9ab8f49f24586db2e9413e,1720cdfa305311312c4c4bdd76443bd4a608b6fff52085f3ddad724806601b1c,b23741ffb05dce521ee69a664cc86f29df9acddc5354578ff6ee5d50e78da5a5,555d692c86590f8665006fef2afda54c751cf4374274b368111091601a83deb0,ba7968007daa53d68f6eb77dff7b8946c6c0dcedf4e7c27ec6d3be60b046a070
2026-07-23T12:59:41.916644+00:00,scan,23e025eec37ad2e5d306e63ab381fb9fc4ddec5e904f4a0268d7897914ac9854,1720cdfa305311312c4c4bdd76443bd4a608b6fff52085f3ddad724806601b1c,b23741ffb05dce521ee69a664cc86f29df9acddc5354578ff6ee5d50e78da5a5,ba7968007daa53d68f6eb77dff7b8946c6c0dcedf4e7c27ec6d3be60b046a070,bd304a4cebaaa6eb89668b4f6c5cdd12ddec8de070a04cf44afacf099d5eb77c
